phone_id,direction_id,wav_path
P0019,dir_4,examples\type1_pipeline\audio\P0019_dir_4.wav
P0020,dir_1,examples\type1_pipeline\audio\P0020_dir_1.wav
P0020,dir_2,examples\type1_pipeline\audio\P0020_dir_2.wav
P0020,dir_3,examples\type1_pipeline\audio\P0020_dir_3.wav
P0020,dir_4,examples\type1_pipeline\audio\P0020_dir_4.wav
P0021,dir_1,examples\type1_pipeline\audio\P0021_dir_1.wav
P0021,dir_2,examples\type1_pipeline\audio\P0021_dir_2.wav
P0021,dir_3,examples\type1_pipeline\audio\P0021_dir_3.wav
P0021,dir_4,examples\type1_pipeline\audio\P0021_dir_4.wav
P0022,dir_1,examples\type1_pipeline\audio\P0022_dir_1.wav
P0022,dir_2,examples\type1_pipeline\audio\P0022_dir_2.wav
P0022,dir_3,examples\type1_pipeline\audio\P0022_dir_3.wav
P0022,dir_4,examples\type1_pipeline\audio\P0022_dir_4.wav
P0023,dir_1,examples\type1_pipeline\audio\P0023_dir_1.wav
P0023,dir_2,examples\type1_pipeline\audio\P0023_dir_2.wav
P0023,dir_3,examples\type1_pipeline\audio\P0023_dir_3.wav
P0023,dir_4,examples\type1_pipeline\audio\P0023_dir_4.wav
P0024,dir_1,examples\type1_pipeline\audio\P0024_dir_1.wav
P0024,dir_2,examples\type1_pipeline\audio\P0024_dir_2.wav
P0024,dir_3,examples\type1_pipeline\audio\P0024_dir_3.wav
P0024,dir_4,examples\type1_pipeline\audio\P0024_dir_4.wav
